#Frame_Number,qw,qx,qy,qz,tx,ty,tz,fx,k1,k2,k3,p1,p2,cx,cy,fy
0.0,1.0,-1.5572579089253783e-20,-2.2625355178067666e-20,-9.21762217542602e-20,-0.09999999999999999,1.734723475976807e-18,0.0,459.357,0.0,0.0,0.0,0.0,0.0,332.695,258.998,459.764
1.0,1.0,-1.5572579089253783e-20,-2.2625355178067666e-20,-9.21762217542602e-20,-0.09999999999999999,1.734723475976807e-18,0.0,459.357,0.0,0.0,0.0,0.0,0.0,332.695,258.998,459.764
2.0,1.0,-1.5572579089253783e-20,-2.2625355178067666e-20,-9.21762217542602e-20,-0.09999999999999999,1.734723475976807e-18,0.0,459.357,0.0,0.0,0.0,0.0,0.0,332.695,258.998,459.764
3.0,1.0,-1.5572579089253783e-20,-2.2625355178067666e-20,-9.21762217542602e-20,-0.09999999999999999,1.734723475976807e-18,0.0,459.357,0.0,0.0,0.0,0.0,0.0,332.695,258.998,459.764
4.0,1.0,-1.5572579089253783e-20,-2.2625355178067666e-20,-9.21762217542602e-20,-0.09999999999999999,1.734723475976807e-18,0.0,459.357,0.0,0.0,0.0,0.0,0.0,332.695,258.998,459.764
5.0,1.0,-1.5572579089253783e-20,-2.2625355178067666e-20,-9.21762217542602e-20,-0.09999999999999999,1.734723475976807e-18,0.0,459.357,0.0,0.0,0.0,0.0,0.0,332.695,258.998,459.764
6.0,1.0,-1.5572579089253783e-20,-2.2625355178067666e-20,-9.21762217542602e-20,-0.09999999999999999,1.734723475976807e-18,0.0,459.357,0.0,0.0,0.0,0.0,0.0,332.695,258.998,459.764
7.0,1.0,-1.5572579089253783e-20,-2.2625355178067666e-20,-9.21762217542602e-20,-0.09999999999999999,1.734723475976807e-18,0.0,459.357,0.0,0.0,0.0,0.0,0.0,332.695,258.998,459.764
8.0,1.0,-1.5572579089253783e-20,-2.2625355178067666e-20,-9.21762217542602e-20,-0.09999999999999999,1.734723475976807e-18,0.0,459.357,0.0,0.0,0.0,0.0,0.0,332.695,258.998,459.764
9.0,1.0,-1.5572579089253783e-20,-2.2625355178067666e-20,-9.21762217542602e-20,-0.09999999999999999,1.734723475976807e-18,0.0,459.357,0.0,0.0,0.0,0.0,0.0,332.695,258.998,459.764
10.0,1.0,-1.5572579089253783e-20,-2.2625355178067666e-20,-9.21762217542602e-20,-0.09999999999999999,1.734723475976807e-18,0.0,459.357,0.0,0.0,0.0,0.0,0.0,332.695,258.998,459.764
11.0,1.0,-1.5572579089253783e-20,-2.2625355178067666e-20,-9.21762217542602e-20,-0.09999999999999999,1.734723475976807e-18,0.0,459.357,0.0,0.0,0.0,0.0,0.0,332.695,258.998,459.764
12.0,1.0,-1.5572579089253783e-20,-2.2625355178067666e-20,-9.21762217542602e-20,-0.09999999999999999,1.734723475976807e-18,0.0,459.357,0.0,0.0,0.0,0.0,0.0,332.695,258.998,459.764
