#Frame_Number,bgx,bgy,bgz,bax,bay,baz,tic
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.003270723
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0034589340000000003
3,0.0,0.0,0.0,0.0,0.0,0.0,2.9334e-05
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0031906760000000004
5,0.0,0.0,0.0,0.0,0.0,0.0,0.003489139
6,0.0,0.0,0.0,0.0,0.0,0.0,0.00020617700000000001
7,0.0,0.0,0.0,0.0,0.0,0.0,0.003072038
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0036601480000000002
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0003779
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0028997470000000003
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0038316670000000004
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0005523710000000001
13,0.0,0.0,0.0,0.0,0.0,0.0,0.002874114
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0038555190000000004
15,0.0,0.0,0.0,0.0,0.0,0.0,0.000575558
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0026933900000000004
17,0.0,0.0,0.0,0.0,0.0,0.0,0.00403042
18,0.0,0.0,0.0,0.0,0.0,0.0,0.000751548
19,0.0,0.0,0.0,0.0,0.0,0.0,0.002528537
20,0.0,0.0,0.0,0.0,0.0,0.0,0.004208934
21,0.0,0.0,0.0,0.0,0.0,0.0,0.00092491
22,0.0,0.0,0.0,0.0,0.0,0.0,0.002347271
23,0.0,0.0,0.0,0.0,0.0,0.0,0.004378052
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0009499150000000001
25,0.0,0.0,0.0,0.0,0.0,0.0,0.002330024
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0044066
27,0.0,0.0,0.0,0.0,0.0,0.0,0.001123443
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0021482280000000003
29,0.0,0.0,0.0,0.0,0.0,0.0,0.004590262
30,0.0,0.0,0.0,0.0,0.0,0.0,0.001302257
31,0.0,0.0,0.0,0.0,0.0,0.0,0.001977895
32,0.0,0.0,0.0,0.0,0.0,0.0,0.004753567
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0014768770000000001
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0019473040000000002
35,0.0,0.0,0.0,0.0,0.0,0.0,0.004777419000000001
36,0.0,0.0,0.0,0.0,0.0,0.0,0.001501967
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0017798850000000001
38,0.0,0.0,0.0,0.0,0.0,0.0,0.004950934000000001
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0016724670000000002
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0016077420000000001
41,0.0,0.0,0.0,0.0,0.0,0.0,0.004878238
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0018484570000000002
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0014261660000000002
44,0.0,0.0,0.0,0.0,0.0,0.0,0.004701519
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0018741570000000002
46,0.0,0.0,0.0,0.0,0.0,0.0,0.001406195
47,0.0,0.0,0.0,0.0,0.0,0.0,0.004685381000000001
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0020472000000000003
49,0.0,0.0,0.0,0.0,0.0,0.0,0.001232243
50,0.0,0.0,0.0,0.0,0.0,0.0,0.004506495
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0022237100000000003
52,0.0,0.0,0.0,0.0,0.0,0.0,0.00105689
53,0.0,0.0,0.0,0.0,0.0,0.0,0.004329243
54,0.0,0.0,0.0,0.0,0.0,0.0,0.002404662
55,0.0,0.0,0.0,0.0,0.0,0.0,0.001021329
56,0.0,0.0,0.0,0.0,0.0,0.0,0.004305891
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0024213430000000003
58,0.0,0.0,0.0,0.0,0.0,0.0,0.000857291
59,0.0,0.0,0.0,0.0,0.0,0.0,0.004131938
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0025973190000000003
61,0.0,0.0,0.0,0.0,0.0,0.0,0.000682752
62,0.0,0.0,0.0,0.0,0.0,0.0,0.003958533
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0027765570000000002
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0005001760000000001
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0037882040000000003
66,0.0,0.0,0.0,0.0,0.0,0.0,0.002796091
67,0.0,0.0,0.0,0.0,0.0,0.0,0.00047568100000000004
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0037592520000000003
69,0.0,0.0,0.0,0.0,0.0,0.0,0.002973233
70,0.0,0.0,0.0,0.0,0.0,0.0,0.000299514
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0035857470000000002
72,0.0,0.0,0.0,0.0,0.0,0.0,0.003150106
73,0.0,0.0,0.0,0.0,0.0,0.0,0.000128138
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0034099760000000003
