#Frame_Number,qw,qx,qy,qz,tx,ty,tz,vx,vy,vz
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.999998,0.0007937685,0.0016223756,-0.0009053519,-0.026825994,0.23387636,-0.97189635,0.0,0.0,0.0
2,0.0019874126,-0.23163472,-0.14336705,0.9621784,-0.25749877,0.09051322,-0.009484122,0.0,0.0,0.0
3,0.0002909684,-0.2310927,-0.14346017,0.96229684,0.0014543501,0.21104158,-0.9678246,0.0,0.0,0.0
4,-0.00045764312,-0.22999543,-0.14371337,0.96252185,-0.01606381,-0.0674394,-0.0075424267,0.0,0.0,0.0
5,-0.5163691,-0.5661864,0.64142525,-0.03700744,-0.7456313,-0.6951248,0.26401266,0.0,0.0,0.0
6,0.026363116,-0.48119462,-0.36613956,0.79605186,-1.50623,-1.3349671,0.15405306,0.0,0.0,0.0
7,0.029055648,-0.47540772,-0.36697993,0.7990426,-2.2977242,-1.8653748,0.45770422,0.0,0.0,0.0
8,0.03053944,-0.47227865,-0.36658874,0.8010199,-3.021569,-2.4222026,0.86512476,0.0,0.0,0.0
9,0.031006092,-0.47125992,-0.36572167,0.8019977,-2.340498,-1.926369,0.32633823,0.0,0.0,0.0
10,0.93017393,0.31827706,-0.16742808,0.07378344,-2.8944318,-2.551676,0.8760184,0.0,0.0,0.0
11,-0.010476715,-0.39791277,-0.473067,0.7859792,-2.4283717,-1.8311621,0.36255187,0.0,0.0,0.0
12,-0.0105344225,-0.39340922,-0.47477603,0.78721404,-1.6274425,-1.3643275,-0.01238485,0.0,0.0,0.0
13,0.76567894,0.45365882,-0.4542322,-0.040032227,-2.2958982,-2.0769467,0.20054954,0.0,0.0,0.0
14,0.76170844,0.4548992,-0.45906672,-0.046094377,-2.7993345,-2.8392558,0.6072887,0.0,0.0,0.0
15,0.75872695,0.4550742,-0.46338692,-0.050133847,-2.0835161,-2.1532874,0.47670838,0.0,0.0,0.0
16,0.75802416,0.45276716,-0.466215,-0.055179704,-2.7837038,-2.8636317,0.54845995,0.0,0.0,0.0
17,0.7579702,0.44921684,-0.4690036,-0.061000347,-3.4281824,-3.6125133,0.7028088,0.0,0.0,0.0
18,0.75826615,0.44705415,-0.46975526,-0.06711938,-4.2684574,-3.523614,0.1679871,0.0,0.0,0.0
19,0.75914854,0.4448717,-0.4702218,-0.06836753,-4.99244,-3.4050646,-0.51156723,0.0,0.0,0.0
20,-0.1643118,0.7665568,0.38210854,0.48927024,-5.4454937,-3.3514042,-1.4014343,0.0,0.0,0.0
21,-0.15924148,0.76863575,0.38213894,0.48765874,-4.8704815,-2.592753,-1.7077174,0.0,0.0,0.0
22,-0.15564634,0.7705064,0.38163972,0.4862564,-5.299856,-3.4822054,-1.5511546,0.0,0.0,0.0
23,0.56803006,-0.39407212,0.6636742,0.28563192,-4.7107425,-2.7514367,-1.8960056,0.0,0.0,0.0
24,0.56897396,-0.39371535,0.6624704,0.28703627,-4.069582,-2.3758643,-1.2267833,0.0,0.0,0.0
25,0.57170194,-0.39373085,0.6594137,0.28862867,-3.476255,-1.6314936,-1.5331739,0.0,0.0,0.0
26,0.5703365,-0.3952433,0.6600322,0.28784803,-3.8813016,-1.8880208,-2.4107451,0.0,0.0,0.0
27,0.15118259,0.44985026,-0.23516533,0.8482192,-4.8250256,-2.1191623,-2.6472986,0.0,0.0,0.0
28,0.15204191,0.45030093,-0.23799235,0.8470372,-3.8686726,-2.1119962,-2.3551748,0.0,0.0,0.0
29,0.15441687,0.45418245,-0.23838882,0.8444196,-4.5301723,-1.6337326,-2.9328268,0.0,0.0,0.0
30,0.15523651,0.45542964,-0.2387547,0.8434937,-5.3775887,-1.3485401,-3.3806548,0.0,0.0,0.0
31,0.8048229,-0.070112035,0.58674806,0.0554174,-4.4921865,-1.5480155,-2.960807,0.0,0.0,0.0
32,0.80612975,-0.07067045,0.585053,0.053604823,-5.425066,-1.4741673,-3.3133433,0.0,0.0,0.0
33,0.36520916,0.009702396,-0.57163715,0.734683,-5.9182796,-0.8520749,-3.9214072,0.0,0.0,0.0
34,0.3640102,0.0113331275,-0.57003546,0.7364969,-5.9864793,-1.663667,-3.3411765,0.0,0.0,0.0
35,0.36275303,0.012752176,-0.5686704,0.73814744,-5.952572,-0.8435473,-3.9123633,0.0,0.0,0.0
36,0.8887603,0.29047558,0.26327547,-0.23751855,-5.9845157,-1.6617664,-3.3383446,0.0,0.0,0.0
37,0.88855433,0.29303885,0.25999498,-0.23875098,-6.1957955,-2.5099022,-2.8525186,0.0,0.0,0.0
38,0.88829243,0.29630294,0.25739917,-0.23850948,-6.090982,-1.6289057,-3.3138857,0.0,0.0,0.0
39,-0.37876,0.049005497,0.7313371,-0.56505346,-5.9033647,-0.72597474,-3.700559,0.0,0.0,0.0
40,-0.37741682,0.04602203,0.73013085,-0.56775653,-5.1739616,-0.12626609,-3.3714375,0.0,0.0,0.0
41,-0.37637225,0.043122128,0.7295046,-0.56947994,-5.920932,-0.54238266,-3.889976,0.0,0.0,0.0
42,-0.3735573,0.04170112,0.728742,-0.57240814,-6.711652,-1.0594226,-4.2177434,0.0,0.0,0.0
