#Frame_Number,qw,qx,qy,qz,tx,ty,tz,fx,k1,k2,k3,p1,p2,cx,cy,fy
0.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
1.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
2.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
3.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
4.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
5.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
6.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
7.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
8.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
9.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
10.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
11.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
12.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
13.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
14.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
15.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
16.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
17.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
18.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
19.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,512.0000000000001,0.0,0.0,0.0,0.0,0.0,512.0,512.0,512.0000000000001
