#Frame_Number,bgx,bgy,bgz,bax,bay,baz,tic
0,0.0,0.0,0.0,0.0,0.0,0.0,5.823974609375001e-10
1,0.0,0.0,0.0,0.0,0.0,0.0,4.64813232421875e-10
2,0.0,0.0,0.0,0.0,0.0,0.0,3.4724426269531254e-10
3,0.0,0.0,0.0,0.0,0.0,0.0,2.296600341796875e-10
4,0.0,0.0,0.0,0.0,0.0,0.0,1.12060546875e-10
5,0.0,0.0,0.0,0.0,0.0,0.0,9.944763183593752e-10
6,0.0,0.0,0.0,0.0,0.0,0.0,8.768768310546876e-10
7,0.0,0.0,0.0,0.0,0.0,0.0,7.592926025390625e-10
8,0.0,0.0,0.0,0.0,0.0,0.0,6.417236328125001e-10
9,0.0,0.0,0.0,0.0,0.0,0.0,5.241241455078125e-10
10,0.0,0.0,0.0,0.0,0.0,0.0,4.0653991699218753e-10
11,0.0,0.0,0.0,0.0,0.0,0.0,2.8895568847656253e-10
12,0.0,0.0,0.0,0.0,0.0,0.0,1.7135620117187501e-10
13,0.0,0.0,0.0,0.0,0.0,0.0,5.37872314453125e-11
14,0.0,0.0,0.0,0.0,0.0,0.0,9.362030029296875e-10
15,0.0,0.0,0.0,0.0,0.0,0.0,8.186035156250001e-10
16,0.0,0.0,0.0,0.0,0.0,0.0,7.010040283203126e-10
17,0.0,0.0,0.0,0.0,0.0,0.0,5.834350585937501e-10
18,0.0,0.0,0.0,0.0,0.0,0.0,4.658355712890625e-10
19,0.0,0.0,0.0,0.0,0.0,0.0,3.482666015625e-10
20,0.0,0.0,0.0,0.0,0.0,0.0,2.3066711425781252e-10
21,0.0,0.0,0.0,0.0,0.0,0.0,1.1308288574218751e-10
22,0.0,0.0,0.0,0.0,0.0,0.0,9.954833984375e-10
23,0.0,0.0,0.0,0.0,0.0,0.0,8.779144287109376e-10
24,0.0,0.0,0.0,0.0,0.0,0.0,7.603149414062501e-10
25,0.0,0.0,0.0,0.0,0.0,0.0,6.427154541015626e-10
26,0.0,0.0,0.0,0.0,0.0,0.0,5.251464843750001e-10
27,0.0,0.0,0.0,0.0,0.0,0.0,4.07562255859375e-10
28,0.0,0.0,0.0,0.0,0.0,0.0,2.899627685546875e-10
29,0.0,0.0,0.0,0.0,0.0,0.0,1.7239379882812501e-10
30,0.0,0.0,0.0,0.0,0.0,0.0,5.4794311523437507e-11
31,0.0,0.0,0.0,0.0,0.0,0.0,9.3719482421875e-10
32,0.0,0.0,0.0,0.0,0.0,0.0,8.196258544921875e-10
33,0.0,0.0,0.0,0.0,0.0,0.0,7.020416259765626e-10
34,0.0,0.0,0.0,0.0,0.0,0.0,5.84442138671875e-10
35,0.0,0.0,0.0,0.0,0.0,0.0,4.668731689453125e-10
36,0.0,0.0,0.0,0.0,0.0,0.0,3.4927368164062504e-10
37,0.0,0.0,0.0,0.0,0.0,0.0,2.316741943359375e-10
38,0.0,0.0,0.0,0.0,0.0,0.0,1.14105224609375e-10
39,0.0,0.0,0.0,0.0,0.0,0.0,9.9652099609375e-10
40,0.0,0.0,0.0,0.0,0.0,0.0,8.789215087890626e-10
41,0.0,0.0,0.0,0.0,0.0,0.0,7.613525390625001e-10
42,0.0,0.0,0.0,0.0,0.0,0.0,6.437530517578126e-10
43,0.0,0.0,0.0,0.0,0.0,0.0,5.26153564453125e-10
44,0.0,0.0,0.0,0.0,0.0,0.0,5.203399658203126e-10
45,0.0,0.0,0.0,0.0,0.0,0.0,4.027557373046875e-10
46,0.0,0.0,0.0,0.0,0.0,0.0,2.8515625e-10
47,0.0,0.0,0.0,0.0,0.0,0.0,1.6758728027343752e-10
48,0.0,0.0,0.0,0.0,0.0,0.0,4.9972534179687506e-11
49,0.0,0.0,0.0,0.0,0.0,0.0,9.324035644531251e-10
50,0.0,0.0,0.0,0.0,0.0,0.0,8.148040771484375e-10
51,0.0,0.0,0.0,0.0,0.0,0.0,6.97235107421875e-10
52,0.0,0.0,0.0,0.0,0.0,0.0,5.796356201171875e-10
53,0.0,0.0,0.0,0.0,0.0,0.0,4.620361328125e-10
54,0.0,0.0,0.0,0.0,0.0,0.0,3.444671630859375e-10
55,0.0,0.0,0.0,0.0,0.0,0.0,2.2688293457031252e-10
56,0.0,0.0,0.0,0.0,0.0,0.0,1.09283447265625e-10
57,0.0,0.0,0.0,0.0,0.0,0.0,9.917144775390626e-10
58,0.0,0.0,0.0,0.0,0.0,0.0,8.741149902343751e-10
59,0.0,0.0,0.0,0.0,0.0,0.0,7.565155029296875e-10
60,0.0,0.0,0.0,0.0,0.0,0.0,6.38946533203125e-10
61,0.0,0.0,0.0,0.0,0.0,0.0,5.213623046875e-10
62,0.0,0.0,0.0,0.0,0.0,0.0,4.0376281738281255e-10
63,0.0,0.0,0.0,0.0,0.0,0.0,2.8619384765625e-10
64,0.0,0.0,0.0,0.0,0.0,0.0,1.685943603515625e-10
65,0.0,0.0,0.0,0.0,0.0,0.0,5.0994873046875005e-11
66,0.0,0.0,0.0,0.0,0.0,0.0,9.334259033203126e-10
67,0.0,0.0,0.0,0.0,0.0,0.0,8.158416748046875e-10
68,0.0,0.0,0.0,0.0,0.0,0.0,6.982421875e-10
69,0.0,0.0,0.0,0.0,0.0,0.0,5.806427001953125e-10
70,0.0,0.0,0.0,0.0,0.0,0.0,4.6307373046875e-10
71,0.0,0.0,0.0,0.0,0.0,0.0,3.4547424316406253e-10
72,0.0,0.0,0.0,0.0,0.0,0.0,2.279052734375e-10
73,0.0,0.0,0.0,0.0,0.0,0.0,1.10321044921875e-10
74,0.0,0.0,0.0,0.0,0.0,0.0,9.927215576171875e-10
75,0.0,0.0,0.0,0.0,0.0,0.0,8.751220703125e-10
76,0.0,0.0,0.0,0.0,0.0,0.0,7.575531005859375e-10
77,0.0,0.0,0.0,0.0,0.0,0.0,6.3995361328125e-10
78,0.0,0.0,0.0,0.0,0.0,0.0,5.223846435546875e-10
79,0.0,0.0,0.0,0.0,0.0,0.0,4.0480041503906255e-10
80,0.0,0.0,0.0,0.0,0.0,0.0,2.87200927734375e-10
81,0.0,0.0,0.0,0.0,0.0,0.0,1.6960144042968752e-10
82,0.0,0.0,0.0,0.0,0.0,0.0,5.2032470703125006e-11
83,0.0,0.0,0.0,0.0,0.0,0.0,9.344329833984375e-10
84,0.0,0.0,0.0,0.0,0.0,0.0,8.168640136718751e-10
85,0.0,0.0,0.0,0.0,0.0,0.0,6.992645263671875e-10
86,0.0,0.0,0.0,0.0,0.0,0.0,5.816802978515625e-10
87,0.0,0.0,0.0,0.0,0.0,0.0,4.64080810546875e-10
88,0.0,0.0,0.0,0.0,0.0,0.0,3.46527099609375e-10
89,0.0,0.0,0.0,0.0,0.0,0.0,2.289276123046875e-10
90,0.0,0.0,0.0,0.0,0.0,0.0,1.1134338378906251e-10
91,0.0,0.0,0.0,0.0,0.0,0.0,9.93743896484375e-10
92,0.0,0.0,0.0,0.0,0.0,0.0,8.7615966796875e-10
93,0.0,0.0,0.0,0.0,0.0,0.0,7.585601806640626e-10
94,0.0,0.0,0.0,0.0,0.0,0.0,6.410064697265626e-10
95,0.0,0.0,0.0,0.0,0.0,0.0,5.234069824218751e-10
96,0.0,0.0,0.0,0.0,0.0,0.0,4.0580749511718753e-10
97,0.0,0.0,0.0,0.0,0.0,0.0,2.882232666015625e-10
98,0.0,0.0,0.0,0.0,0.0,0.0,1.7063903808593752e-10
99,0.0,0.0,0.0,0.0,0.0,0.0,5.3039550781250004e-11
100,0.0,0.0,0.0,0.0,0.0,0.0,9.3548583984375e-10
101,0.0,0.0,0.0,0.0,0.0,0.0,8.178863525390626e-10
102,0.0,0.0,0.0,0.0,0.0,0.0,7.002868652343751e-10
103,0.0,0.0,0.0,0.0,0.0,0.0,5.8270263671875e-10
104,0.0,0.0,0.0,0.0,0.0,0.0,4.65118408203125e-10
105,0.0,0.0,0.0,0.0,0.0,0.0,3.475189208984375e-10
106,0.0,0.0,0.0,0.0,0.0,0.0,2.299652099609375e-10
107,0.0,0.0,0.0,0.0,0.0,0.0,1.1236572265625e-10
108,0.0,0.0,0.0,0.0,0.0,0.0,9.947662353515625e-10
109,0.0,0.0,0.0,0.0,0.0,0.0,8.771820068359375e-10
110,0.0,0.0,0.0,0.0,0.0,0.0,7.595977783203126e-10
111,0.0,0.0,0.0,0.0,0.0,0.0,6.419982910156251e-10
112,0.0,0.0,0.0,0.0,0.0,0.0,5.243988037109376e-10
113,0.0,0.0,0.0,0.0,0.0,0.0,4.0684509277343753e-10
114,0.0,0.0,0.0,0.0,0.0,0.0,2.8924560546875004e-10
115,0.0,0.0,0.0,0.0,0.0,0.0,1.71661376953125e-10
116,0.0,0.0,0.0,0.0,0.0,0.0,5.4077148437500004e-11
117,0.0,0.0,0.0,0.0,0.0,0.0,9.364776611328127e-10
118,0.0,0.0,0.0,0.0,0.0,0.0,8.188781738281251e-10
119,0.0,0.0,0.0,0.0,0.0,0.0,7.012939453125e-10
120,0.0,0.0,0.0,0.0,0.0,0.0,5.837249755859376e-10
121,0.0,0.0,0.0,0.0,0.0,0.0,4.661407470703125e-10
122,0.0,0.0,0.0,0.0,0.0,0.0,3.485565185546875e-10
123,0.0,0.0,0.0,0.0,0.0,0.0,2.3095703125e-10
124,0.0,0.0,0.0,0.0,0.0,0.0,1.133575439453125e-10
125,0.0,0.0,0.0,0.0,0.0,0.0,9.957733154296876e-10
126,0.0,0.0,0.0,0.0,0.0,0.0,8.782043457031251e-10
