#Frame_Number,qw,qx,qy,qz,tx,ty,tz,vx,vy,vz
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,2.8073924e-05,8.127411e-06,3.420703e-05,0.999635,-0.026943559,0.00197627,0.0,0.0,0.0
2,0.9999991,-0.00021502316,0.00011746687,-0.001314133,1.9987595,-0.0683504,0.00794705,0.0,0.0,0.0
3,0.9999838,-0.00065769296,0.00043924278,-0.0056362874,2.994437,-0.15926152,0.02696402,0.0,0.0,0.0
4,0.9999614,-0.0013206353,0.00069938134,-0.008662456,3.9916084,-0.23357765,0.0382056,0.0,0.0,0.0
5,0.99994165,-0.001751558,0.00080735376,-0.010630633,4.9904385,-0.28130502,0.04598823,0.0,0.0,0.0
6,0.9999267,-0.0020910949,0.00079842657,-0.011900831,5.989788,-0.31731662,0.047891464,0.0,0.0,0.0
7,0.99991965,-0.002438443,0.00078911573,-0.012413046,6.9890094,-0.3564235,0.042641938,0.0,0.0,0.0
8,0.9998816,-0.003082554,0.0011390249,-0.015030016,7.9851866,-0.44126496,0.06344937,0.0,0.0,0.0
9,0.9997363,-0.0026085598,0.0012269964,-0.022780677,8.980786,-0.53000957,0.093544625,0.0,0.0,0.0
10,0.9995636,-0.0018428487,0.0009808037,-0.029467523,9.980163,-0.55613935,0.11730549,0.0,0.0,0.0
11,0.9995079,-0.0024705727,0.0009969551,-0.03125412,10.97664,-0.64000076,0.1166659,0.0,0.0,0.0
12,0.99948716,-0.0028331191,0.00089846924,-0.031883683,11.973943,-0.71120775,0.09892805,0.0,0.0,0.0
13,0.9994815,-0.0032379585,0.000912447,-0.032022223,12.971529,-0.78058165,0.095792174,0.0,0.0,0.0
14,0.99947214,-0.0033829277,0.00093128835,-0.03229829,13.969382,-0.8459779,0.099272065,0.0,0.0,0.0
15,0.9994733,-0.003634383,0.0009328859,-0.032234967,14.967104,-0.91289407,0.090677135,0.0,0.0,0.0
16,0.99947244,-0.0037538214,0.00090183946,-0.032248005,15.965056,-0.97673404,0.08669472,0.0,0.0,0.0
17,0.9994663,-0.003795214,0.00091698143,-0.032433096,16.963259,-1.0364618,0.08193736,0.0,0.0,0.0
18,0.99946964,-0.0039466675,0.00097034004,-0.03230964,17.960674,-1.1082884,0.07993848,0.0,0.0,0.0
19,0.999464,-0.003914451,0.0009872166,-0.03248881,18.958845,-1.1687546,0.07999516,0.0,0.0,0.0
20,0.9994628,-0.0039524585,0.0010531071,-0.03251797,19.956564,-1.2361989,0.07754715,0.0,0.0,0.0
21,0.9994387,-0.003931809,0.0011806154,-0.033248454,20.954964,-1.2919784,0.086938195,0.0,0.0,0.0
22,0.9994216,-0.0039002087,0.0011547123,-0.03376321,21.952751,-1.3584028,0.084342636,0.0,0.0,0.0
23,0.9994203,-0.0039778636,0.0012208739,-0.0337901,22.9502,-1.429778,0.08213372,0.0,0.0,0.0
24,0.9994212,-0.0040323045,0.0012027052,-0.03375879,23.94777,-1.4994029,0.07962224,0.0,0.0,0.0
25,0.9994185,-0.004034636,0.0012567011,-0.033835392,24.945639,-1.5645951,0.07741552,0.0,0.0,0.0
26,0.99942136,-0.004076911,0.0012531368,-0.033744767,25.943129,-1.6350977,0.07069016,0.0,0.0,0.0
27,0.99941903,-0.004032317,0.001244255,-0.03382019,26.940937,-1.7012125,0.068086825,0.0,0.0,0.0
28,0.99941856,-0.0039245626,0.001190037,-0.03384932,27.938307,-1.7713569,0.049821254,0.0,0.0,0.0
29,0.9994211,-0.0039334116,0.0011333259,-0.033774514,28.934809,-1.8532859,0.03332905,0.0,0.0,0.0
30,0.99940294,-0.0039259368,0.0011912744,-0.034305666,29.932045,-1.9275596,0.034805477,0.0,0.0,0.0
31,0.9993874,-0.0038650932,0.0011386907,-0.034764428,30.930344,-1.9857004,0.030518075,0.0,0.0,0.0
32,0.99933624,-0.0040799007,0.0013241301,-0.036175106,31.925682,-2.081412,0.042444732,0.0,0.0,0.0
33,0.999306,-0.004174076,0.0014900236,-0.036984183,32.921295,-2.1747484,0.048848204,0.0,0.0,0.0
34,0.9993018,-0.004333222,0.0015398316,-0.03707859,33.91757,-2.2609868,0.046521787,0.0,0.0,0.0
35,0.9992921,-0.00427186,0.0016114925,-0.03734248,34.915184,-2.329888,0.04996632,0.0,0.0,0.0
36,0.9992884,-0.004267176,0.0017517288,-0.037435632,35.912144,-2.4077928,0.047606736,0.0,0.0,0.0
37,0.99928975,-0.004305625,0.0018388665,-0.037390765,36.908543,-2.4925277,0.050917868,0.0,0.0,0.0
38,0.9992865,-0.00423816,0.0018920049,-0.03748389,37.904682,-2.5802064,0.055335145,0.0,0.0,0.0
39,0.9992886,-0.0042845965,0.001992228,-0.03741619,38.901344,-2.6617782,0.053502027,0.0,0.0,0.0
40,0.99928695,-0.004225017,0.0019761077,-0.03746728,39.898518,-2.7369182,0.05138841,0.0,0.0,0.0
41,0.999276,-0.004040959,0.0020907652,-0.0377739,40.89638,-2.8022115,0.050975863,0.0,0.0,0.0
42,0.9992835,-0.0039473567,0.002193005,-0.03757792,41.894333,-2.8662162,0.050988093,0.0,0.0,0.0
43,0.9993665,-0.003434112,0.0022323004,-0.03535211,42.89423,-2.856853,0.040142667,0.0,0.0,0.0
44,0.9995739,-0.0042534396,0.0021380892,-0.028799415,43.889725,-2.9512606,0.031246614,0.0,0.0,0.0
45,0.9996455,-0.0034382863,0.002116081,-0.026317032,44.88959,-2.9444163,0.016409168,0.0,0.0,0.0
46,0.9996335,-0.0029885073,0.0020849078,-0.026826354,45.88783,-3.0034735,0.010711376,0.0,0.0,0.0
47,0.99951726,-0.003155172,0.0027332162,-0.030786349,46.876328,-3.1492662,0.0508612,0.0,0.0,0.0
48,0.9992159,-0.0032614798,0.003202264,-0.039327774,47.86289,-3.3073993,0.09198967,0.0,0.0,0.0
49,0.9988084,-0.0025000807,0.0031303358,-0.048638817,48.860558,-3.374922,0.08210376,0.0,0.0,0.0
50,0.9986419,-0.002767639,0.0031656863,-0.051929586,49.858322,-3.4412544,0.073769934,0.0,0.0,0.0
51,0.99859774,-0.003246211,0.0031773825,-0.05274423,50.85159,-3.5566678,0.06391024,0.0,0.0,0.0
52,0.9985842,-0.0036584327,0.0031874515,-0.05297171,51.845623,-3.6638818,0.04383294,0.0,0.0,0.0
53,0.99858356,-0.003987017,0.0032014227,-0.05295965,52.838913,-3.7788246,0.031135358,0.0,0.0,0.0
54,0.99858755,-0.0042772978,0.0031966756,-0.052861687,53.83093,-3.9047492,0.02401216,0.0,0.0,0.0
55,0.9985654,-0.0064962334,0.0043482245,-0.052972306,54.825775,-4.005973,0.018065954,0.0,0.0,0.0
56,0.9985015,-0.008791981,0.0117697725,-0.05271538,55.808926,-4.188628,0.010816382,0.0,0.0,0.0
57,0.99831235,-0.008944285,0.022362774,-0.05284309,56.802814,-4.297866,-0.0049100635,0.0,0.0,0.0
58,0.9979264,-0.010776129,0.03488488,-0.053007666,57.794777,-4.4213223,-0.03264261,0.0,0.0,0.0
59,0.9974645,-0.010557413,0.046216734,-0.05307696,58.779846,-4.559851,-0.13488363,0.0,0.0,0.0
60,0.9969247,-0.008218708,0.05688512,-0.053269632,59.774452,-4.6415668,-0.1987423,0.0,0.0,0.0
61,0.9962994,-0.005952661,0.06727423,-0.05316226,60.765602,-4.7562785,-0.2655617,0.0,0.0,0.0
62,0.99547243,-0.005212925,0.07838901,-0.05350372,61.760902,-4.830006,-0.32833543,0.0,0.0,0.0
63,0.99453044,-0.004989771,0.08946985,-0.053660374,62.752384,-4.924803,-0.41765606,0.0,0.0,0.0
64,0.9939311,-0.007827656,0.095636286,-0.05378987,63.745415,-5.016843,-0.49128288,0.0,0.0,0.0
65,0.9938245,-0.00866559,0.096692644,-0.05374324,64.73,-5.128782,-0.6256509,0.0,0.0,0.0
66,0.9938814,-0.009078301,0.09648978,-0.052981853,65.71559,-5.24523,-0.7483589,0.0,0.0,0.0
67,0.9941071,-0.009177829,0.09618603,-0.04914262,66.70653,-5.3220344,-0.85855234,0.0,0.0,0.0
68,0.9944868,-0.0089597255,0.09614075,-0.04089796,67.70018,-5.3560386,-0.96578044,0.0,0.0,0.0
69,0.99476105,-0.0085285455,0.09617905,-0.033574942,68.69317,-5.4099436,-1.0709532,0.0,0.0,0.0
70,0.9948399,-0.0081026675,0.09632199,-0.030821266,69.6835,-5.509408,-1.1676514,0.0,0.0,0.0
71,0.9954422,-0.021114161,0.08812065,-0.029727034,70.6654,-5.6483607,-1.2964226,0.0,0.0,0.0
72,0.9960735,-0.027113345,0.07945878,-0.028085368,71.651215,-5.780224,-1.4002177,0.0,0.0,0.0
73,0.9967375,-0.028490461,0.070699885,-0.026536012,72.640854,-5.875025,-1.5080111,0.0,0.0,0.0
74,0.9974287,-0.027796296,0.06103754,-0.025252499,73.63245,-5.9414787,-1.6190401,0.0,0.0,0.0
75,0.99809545,-0.025567321,0.050472785,-0.024582889,74.62707,-5.9791093,-1.7156012,0.0,0.0,0.0
76,0.9987003,-0.021616584,0.03896635,-0.024738511,75.621544,-5.97411,-1.8204066,0.0,0.0,0.0
77,0.9992048,-0.016157487,0.026417425,-0.02511468,76.61756,-5.957139,-1.9079145,0.0,0.0,0.0
78,0.999535,-0.01089057,0.011785948,-0.02592651,77.6156,-5.946249,-1.9696285,0.0,0.0,0.0
